Country Name,Country Code,Series Name,Series Code,2024 [YR2024],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2010 [YR2010],2015 [YR2015],2005 [YR2005],2000 [YR2000],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Andorra,AND,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,102.69286,91.51744,51.97949,..,99.4038,104.48977,96.51866,93.76756,108.40643,..,80.03936,100.58216
Andorra,AND,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66.03011
Angola,AGO,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,2867.05001,..,783.82404,238.05698,..,..,..,..,..,..,..,..
Angola,AGO,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,36.47758,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,98.95,..,..,..,..,..,..,98.95,..,..,..
Antigua and Barbuda,ATG,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,69.24863,73.49939,69.2184,63.68453,73.11425,72.86909,75.76682,74.8408,71.06061,74.43569,74.04358,75.71389
Arab World,ARB,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,98.95497,99.17996,..,..,..,99.00387,..,99.12501,99.10833,99.10523,99.12195,98.99389
Argentina,ARG,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,0.93,..,0.86,3.48,..,..,..,..,..,..,..,..
Argentina,ARG,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,21264.88002,34353.38171,7671.26599,13017.42608,..,..,35105.55042,30917.83822,28048.96788,29187.28552,30011.42828,28218.33751
Argentina,ARG,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,74.09815,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,99.73607,..,99.74441,..,..,..
Armenia,ARM,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,0.6,..,0.5,0.6,..,..,..,..,..,..,..,..
Armenia,ARM,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,300.86636,296.11674,132.90199,53.00245,..,..,312.11636,290.87508,318.85246,294.41827,294.7388,260.89353
Armenia,ARM,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,98.49,..,..,..,96.96779,99.28294,..,..,..
Aruba,ABW,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,96.82264,..,..,97.29125,..,97.80742,..,..,..,..,..,..
Aruba,ABW,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,165.64447,174.46398,109.10885,88.32731,..,..,..,163.84205,156.02065,165.99487,175.75436,163.30051
Aruba,ABW,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,0.72,..,0.91,1.08,..,..,..,..,..,..,..,..
Australia,AUS,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,63611.38338,71792.18446,34048.41377,20310.49425,..,..,68159.44641,63788.17877,70873.16659,75282.20355,82430.32112,75792.11971
Australia,AUS,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,99.15,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,1.29,..,1.33,1.36,..,..,..,..,..,..,..,..
Austria,AUT,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,22339.75272,20834.1936,16586.65802,10998.76083,..,..,22413.54147,21675.65731,24109.4266,22438.1454,23856.38317,24078.26105
Austria,AUT,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,98.66,..,..,..,..,..,99.19,..,99.23,98.7
Azerbaijan,AZE,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,99.77114,99.78806,..,..,..,..,99.79123,99.79006,99.77863,99.77577,99.78936,99.78899
Azerbaijan,AZE,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,1471.02367,1566.58764,394.0091,203.20638,..,1156.82582,1010.94115,1099.44802,1606.34279,1440.80321,1811.19299,1981.21242
Azerbaijan,AZE,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,87.76,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,..,..,..,180.3344,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,90.9774,..,..,..,..,97.46419,97.40389,97.06668,..,..,..,..
Bahrain,BHR,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,28.89,..,27.79,25.34,..,..,..,..,..,..,..,..
Bahrain,BHR,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,..,830.4628,..,..,..,..,824.59461,..,..,813.41474,805.9654,823.82807
Bahrain,BHR,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,65.13733,..,..,74.68446,73.9122,72.89297,72.75872,58.76918,57.86075,61.01554,61.0933
Bangladesh,BGD,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,31.88,..,38.65,44.41,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,..,..,..,1089.53827,3634.64024,..,..,3399.90854,2458.55646,2798.52071,2621.98744,..
Bangladesh,BGD,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,38.46,64.75245,..,..,..,50.63494,..,54.4,54.93395
Barbados,BRB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.6
Barbados,BRB,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,0.22,..,0.04,0.01,..,..,..,..,..,..,..,..
Barbados,BRB,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,270.35912,..,195.29114,139.20373,..,..,210.89612,233.45786,..,245.11194,237.36864,287.33167
Barbados,BRB,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.24562,..,..
Belarus,BLR,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,99.75656,..,..,..,..,..,..
Belarus,BLR,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,2987.03439,2702.7836,1773.49467,789.25479,..,..,2624.13606,2360.62276,2893.22513,3257.74787,3783.51288,3797.49568
Belarus,BLR,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,99.4,..,..,..,..,..,..,99.93871,..,..
Belgium,BEL,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,4.67,..,4.65,4.1,..,..,..,..,..,..,..,..
Belgium,BEL,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,30985.73025,29815.92584,22347.15126,..,..,..,32304.33574,30740.99927,33616.48749,..,34587.69274,35237.80252
Belgium,BEL,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,89.76,..,..,..,..,..,88.8,..,88.1,92.31
Belize,BLZ,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,76.90298,..,..,..,..,..,..,..,..
Belize,BLZ,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,0.09,..,1.49,3.39,..,..,..,..,..,..,..,..
Belize,BLZ,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,88.52,114.54848,..,36.84493,..,138.87437,133.30812,125.57487,..,..,97.85183,104.47312
Belize,BLZ,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,61.03541,42.05,..,..,..
Benin,BEN,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,42.3624,..,..,..,32.94882,..,..
Benin,BEN,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,53.91,..,59.05,63.5,..,..,..,..,..,..,..,..
Benin,BEN,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,350.89737,361.3441,174.41244,74.21595,..,418.11984,449.07832,342.70414,..,396.8569,416.53221,420.02932
Benin,BEN,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,18.57976,..,..,30.07267,..,..,27.6143
Bermuda,BMU,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,153.533,96.31472,96.816,..,..,..,..,..,..,..,..,99.371
Bermuda,BMU,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,52.81469,..,..,..,66.56115,..,..,55.31756,..,..
Bhutan,BTN,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,50.8998,144.75006,49.73654,23.10474,..,167.87057,156.0018,140.11828,73.76536,..,101.93822,106.16149
Bhutan,BTN,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,38.78343,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,92.45508,..,..,..,..,..,..,92.22615,94.46057,..,..
Bolivia,BOL,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,9.82,..,10.75,12.21,..,..,..,..,..,..,..,..
Bolivia,BOL,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,89.3,83.65,72.49,..,91.95,91,88.87,85.48,87.32,88.19,86.75
Bosnia and Herzegovina,BIH,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,96.6631,..,..,..,..,98.14204,..,96.99177,..
Bosnia and Herzegovina,BIH,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,97.48,..,..,..,..,..,96.84455,..,..
Botswana,BWA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.82318,..
Botswana,BWA,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,9.83,..,12.58,15.59,..,..,..,..,..,..,..,..
Botswana,BWA,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,..,..,956.53116,..,..,..,..,..,..,..,..,..
Botswana,BWA,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,90.37918,92.0479,..,86.36788,..,93.2275,93.07582,92.80844,91.41124,91.33785,91.48424,91.72943
Brazil,BRA,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,9.6,..,12.38,16.03,..,..,..,..,..,..,..,..
Brazil,BRA,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,124774.78854,112477.25841,39936.85384,25882.07697,..,..,130423.56723,113381.15429,150102.16643,144339.2393,144383.41775,146094.24431
Brazil,BRA,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,87.38,76.04,..,..,85.69,84.37,83.75,82.95,84.53,85.01,86.84
British Virgin Islands,VGB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,97.21411,..,..,96.08556,..,..,..
Brunei Darussalam,BRN,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,21.11,..,21.5,21.28,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,219.65015,..,..,222.39759,..,..,..,572.22235,455.3722,535.30487,..,606.72068
Brunei Darussalam,BRN,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,98.35245,..,..,..
Bulgaria,BGR,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,2.37,..,2.02,1.35,..,..,..,..,..,..,..,..
Bulgaria,BGR,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,1955.2985,..,1227.26955,..,..,..,2412.53529,..,2045.83434,1887.69974,2264.90364,..
Bulgaria,BGR,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,92.44,..,95.12,92.53
Burkina Faso,BFA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,23.5222,..,..,41.22445,..,..,..,..,..,34.5994
Burkina Faso,BFA,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,354.06229,434.25034,242.13984,..,..,872.1434,794.00617,..,481.41808,452.59342,548.9901,565.15282
Burkina Faso,BFA,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,9.02003,..,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,59.30362,..,..,68.37533,..,..,..,..,61.51349
Burundi,BDI,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,50.43,..,54.52,58.4,..,..,..,..,..,..,..,..
Burundi,BDI,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,137.6823,197.76661,40.57528,23.02851,..,154.23509,151.06518,138.86637,141.28718,143.91526,146.98365,183.57435
Burundi,BDI,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,11.93795,..,4.23,5.95122,..,..,27.23233,..,..,..,..,..
Cabo Verde,CPV,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,86.79029,..,76.11044,..,..,..,..,..,85.32779,..,..
Cabo Verde,CPV,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,CPV,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,92.65705,84.10203,..,..,..,..,91.70597,87.95259,94.10958,..,92.55018,92.32285
Cabo Verde,CPV,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,80.52649,..,..,..,..,..,..,..,..,..,78.05509
Cambodia,KHM,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,22.22,..,27.4,32.77,..,..,..,..,..,..,..,..
Cambodia,KHM,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,172.43255,..,..,60.90575,..,531.45181,..,..,193.81508,219.37612,312.25574,318.91854
Cambodia,KHM,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,36.68105,..,26.76247,17.39,..,..,..,..,..,..,..,40.52178
Cameroon,CMR,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,71.29051,..,..,68.40916,..,77.07104,..,..,..,..,..,..
Cameroon,CMR,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,20.73,..,22.29,23.71,..,..,..,..,..,..,..,..
Cameroon,CMR,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,783.42069,856.12142,518.07709,179.48561,..,1211.59104,1104.4805,866.43967,812.75076,784.95502,895.65764,940.21293
Cameroon,CMR,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,36.6066,22.44,..,..,..,..,34.37999,..,..,43.24527
Canada,CAN,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,0.67,..,0.78,0.86,..,..,..,..,..,..,..,..
Canada,CAN,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,73629.97376,..,48930.77479,36792.48906,..,..,..,..,85101.28831,..,..,..
Canada,CAN,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,99.51,..,..,..,..,..,..,..,..,..,..,..
Caribbean small states,CSS,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,90.88846,91.44356,89.36509,87.92161,..,..,..,..,91.08869,91.10729,91.17652,91.34948
