Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Bolivia,BOL,Gini index,SI.POV.GINI,47.8,46.7,45.2,44.6,42.6,41.6,43.6,40.9,..,..
Bolivia,BOL,Income share held by lowest 20%,SI.DST.FRST.20,3.8,3.9,3.7,3.9,4.5,5.1,4.7,5.3,..,..
Bosnia and Herzegovina,BIH,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,Income share held by highest 10%,SI.DST.10TH.10,..,41.5,..,..,..,..,..,..,..,..
Botswana,BWA,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,36.8,..,..,..,..,..,..,..,..
Botswana,BWA,Gini index,SI.POV.GINI,..,53.3,..,..,..,..,..,..,..,..
Botswana,BWA,Income share held by lowest 20%,SI.DST.FRST.20,..,3.9,..,..,..,..,..,..,..,..
Brazil,BRA,Income share held by highest 10%,SI.DST.10TH.10,41,40.9,42.1,42,42.5,42,39.5,41.6,41,..
Brazil,BRA,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,27.7,28,28.7,29.1,29.1,29.3,23.5,28.9,27.2,..
Brazil,BRA,Gini index,SI.POV.GINI,52,51.9,53.4,53.3,53.9,53.5,48.9,52.9,52,..
Brazil,BRA,Income share held by lowest 20%,SI.DST.FRST.20,3.6,3.6,3.3,3.2,3.1,3.1,4.5,3.3,3.6,..
British Virgin Islands,VGB,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,Income share held by highest 10%,SI.DST.10TH.10,28.8,28.7,31.4,31.9,32.6,31.4,32.6,29.9,..,..
Bulgaria,BGR,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,18.8,20,19.2,18.4,17.2,17.6,15.5,15.8,..,..
Bulgaria,BGR,Gini index,SI.POV.GINI,37.4,38.6,40.6,40.4,41.3,40.3,40.5,39,..,..
Bulgaria,BGR,Income share held by lowest 20%,SI.DST.FRST.20,6,5.3,5.4,5.7,5.7,5.7,6.1,6.1,..,..
Burkina Faso,BFA,Income share held by highest 10%,SI.DST.10TH.10,29.6,..,..,..,35.3,..,..,30.2,..,..
Burkina Faso,BFA,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,47.7,..,..,..,43.2,..,..,40.5,..,..
Burkina Faso,BFA,Gini index,SI.POV.GINI,35.3,..,..,..,43,..,..,37.4,..,..
Burkina Faso,BFA,Income share held by lowest 20%,SI.DST.FRST.20,8.3,..,..,..,6.3,..,..,7.3,..,..
Burundi,BDI,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,29.9,..,..,..
Burundi,BDI,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,62.1,..,..,..
Burundi,BDI,Gini index,SI.POV.GINI,..,..,..,..,..,..,37.5,..,..,..
Burundi,BDI,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,7.1,..,..,..
Cabo Verde,CPV,Income share held by highest 10%,SI.DST.10TH.10,..,32.3,..,..,..,..,..,..,..,..
Cabo Verde,CPV,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,29.1,..,..,..,..,..,..,..,..
Cabo Verde,CPV,Gini index,SI.POV.GINI,..,42.4,..,..,..,..,..,..,..,..
Cabo Verde,CPV,Income share held by lowest 20%,SI.DST.FRST.20,..,5.7,..,..,..,..,..,..,..,..
Cambodia,KHM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Cameroon,CMR,Income share held by highest 10%,SI.DST.10TH.10,35,..,..,..,..,..,..,31.1,..,..
Cameroon,CMR,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,39.7,..,..,..,..,..,..,38.4,..,..
Cameroon,CMR,Gini index,SI.POV.GINI,46.6,..,..,..,..,..,..,42.2,..,..
Cameroon,CMR,Income share held by lowest 20%,SI.DST.FRST.20,4.5,..,..,..,..,..,..,5.4,..,..
Canada,CAN,Income share held by highest 10%,SI.DST.10TH.10,24.7,25.1,24.6,24.9,24.4,24,..,..,..,..
Canada,CAN,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,14.5,15.2,14.5,14.7,13.5,12.5,..,..,..,..
Canada,CAN,Gini index,SI.POV.GINI,33.2,33.7,32.7,33.3,32.5,31.7,..,..,..,..
Canada,CAN,Income share held by lowest 20%,SI.DST.FRST.20,7.2,7,7.4,7.3,7.5,7.7,..,..,..,..
Cayman Islands,CYM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,33.1,..,..
Central African Republic,CAF,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,65.7,..,..
Central African Republic,CAF,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,43,..,..
Central African Republic,CAF,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,5.6,..,..
Chad,TCD,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,29.7,..,..,..,29.5,..
Chad,TCD,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,43.2,..,..,..,41.4,..
Chad,TCD,Gini index,SI.POV.GINI,..,..,..,..,37.5,..,..,..,37.4,..
Chad,TCD,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,7.1,..,..,..,6.9,..
Channel Islands,CHI,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Chile,CHL,Income share held by highest 10%,SI.DST.10TH.10,..,36.8,..,36.9,..,..,37.3,..,34.5,..
Chile,CHL,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,19.3,..,18.9,..,..,20.6,..,18.1,..
Chile,CHL,Gini index,SI.POV.GINI,..,45.3,..,45.3,..,..,47,..,43,..
Chile,CHL,Income share held by lowest 20%,SI.DST.FRST.20,..,5.6,..,5.6,..,..,4.9,..,5.9,..
China,CHN,Income share held by highest 10%,SI.DST.10TH.10,29.7,29.4,29.3,29.9,29.4,29.5,29.4,28.2,..,..
China,CHN,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,26.5,25.3,24.4,24.3,23.3,22.1,20.9,19,..,..
China,CHN,Gini index,SI.POV.GINI,39.2,38.6,38.5,39.1,38.5,38.2,37.1,35.7,..,..
China,CHN,Income share held by lowest 20%,SI.DST.FRST.20,6.2,6.4,6.5,6.4,6.5,6.7,7.2,7.4,..,..
Colombia,COL,Income share held by highest 10%,SI.DST.10TH.10,41.4,39.9,39.8,39,39.7,40.3,41.8,43.7,43.5,..
Colombia,COL,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,29.6,28.9,28.6,28.2,28.4,29.2,30.9,30.5,29.3,..
Colombia,COL,Gini index,SI.POV.GINI,52.5,51,50.6,49.7,50.4,51.3,53.5,55.1,54.8,..
Colombia,COL,Income share held by lowest 20%,SI.DST.FRST.20,3.6,3.8,3.9,4.1,4,3.7,3.1,3.1,3.2,..
Comoros,COM,Income share held by highest 10%,SI.DST.10TH.10,33.6,..,..,..,..,..,..,..,..,..
Comoros,COM,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,35.9,..,..,..,..,..,..,..,..,..
Comoros,COM,Gini index,SI.POV.GINI,45.3,..,..,..,..,..,..,..,..,..
Comoros,COM,Income share held by lowest 20%,SI.DST.FRST.20,4.5,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,35.7,..,..,..
"Congo, Dem. Rep.",COD,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,78.9,..,..,..
"Congo, Dem. Rep.",COD,Gini index,SI.POV.GINI,..,..,..,..,..,..,44.7,..,..,..
"Congo, Dem. Rep.",COD,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,5.5,..,..,..
"Congo, Rep.",COG,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
"Congo, Rep.",COG,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
"Congo, Rep.",COG,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
"Congo, Rep.",COG,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Costa Rica,CRI,Income share held by highest 10%,SI.DST.10TH.10,36.9,36.8,37.3,37,36.3,36.7,37,37.2,35.7,35.1
Costa Rica,CRI,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,24.9,23.7,24.6,23.4,23.6,24,25.7,24.6,23.8,24.1
Costa Rica,CRI,Gini index,SI.POV.GINI,48.6,48.4,48.7,48.3,48,48.2,49.2,48.7,47.2,46.7
Costa Rica,CRI,Income share held by lowest 20%,SI.DST.FRST.20,4.2,4.3,4.2,4.4,4.3,4.4,4,4.3,4.5,4.5
Cote d'Ivoire,CIV,Income share held by highest 10%,SI.DST.10TH.10,..,31.9,..,..,29,..,..,27.8,..,..
Cote d'Ivoire,CIV,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,44.3,..,..,34.3,..,..,31.9,..,..
Cote d'Ivoire,CIV,Gini index,SI.POV.GINI,..,41.5,..,..,37.2,..,..,35.3,..,..
Cote d'Ivoire,CIV,Income share held by lowest 20%,SI.DST.FRST.20,..,5.7,..,..,7,..,..,7.6,..,..
Croatia,HRV,Income share held by highest 10%,SI.DST.10TH.10,24,23.2,23.2,22.8,22.7,22.2,22.3,22.3,..,..
Croatia,HRV,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,18.1,17.7,16.7,16.4,14.1,13.8,14.1,13.3,..,..
Croatia,HRV,Gini index,SI.POV.GINI,32.1,31.1,30.9,30.4,29.7,28.9,29.5,28.9,..,..
Croatia,HRV,Income share held by lowest 20%,SI.DST.FRST.20,7.1,7.3,7.3,7.4,7.9,8,7.9,8.2,..,..
Cuba,CUB,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Cuba,CUB,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
Cuba,CUB,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Cuba,CUB,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,Income share held by highest 10%,SI.DST.10TH.10,28.8,27.5,26.8,25.5,27.2,25.5,26.3,25.7,..,..
Cyprus,CYP,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,11.7,11.7,10.2,11,9.1,9.3,9.1,9.7,..,..
Cyprus,CYP,Gini index,SI.POV.GINI,35.6,34,32.9,31.4,32.7,31.2,31.7,31.3,..,..
Cyprus,CYP,Income share held by lowest 20%,SI.DST.FRST.20,7.6,7.9,8.2,8.4,8.4,8.5,8.5,8.6,..,..
Czechia,CZE,Income share held by highest 10%,SI.DST.10TH.10,22.1,22.1,21.9,21.4,21.5,21.5,22.5,22.2,..,..
Czechia,CZE,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,7.6,7.9,7,6,6.2,5.9,6.9,6.9,..,..
Czechia,CZE,Gini index,SI.POV.GINI,25.9,25.9,25.4,24.9,25,25.3,26.2,26.2,..,..
Czechia,CZE,Income share held by lowest 20%,SI.DST.FRST.20,9.7,9.7,10,10.2,10.2,10.1,9.8,9.7,..,..
Denmark,DNK,Income share held by highest 10%,SI.DST.10TH.10,23.6,23.8,23.7,24,23.5,23.5,22.9,23.8,..,..
Denmark,DNK,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,7.6,6.9,7.4,7.9,7.7,6.8,7.5,8,..,..
Denmark,DNK,Gini index,SI.POV.GINI,28.4,28.2,28.2,28.7,28.2,27.7,27.5,28.3,..,..
Denmark,DNK,Income share held by lowest 20%,SI.DST.FRST.20,9.1,9.4,9.2,9.1,9.3,9.5,9.4,9.2,..,..
Djibouti,DJI,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,32.3,..,..,..,..,..,..
Djibouti,DJI,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,36.4,..,..,..,..,..,..
Djibouti,DJI,Gini index,SI.POV.GINI,..,..,..,41.6,..,..,..,..,..,..
Djibouti,DJI,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,5.4,..,..,..,..,..,..
Dominica,DMA,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Dominican Republic,DOM,Income share held by highest 10%,SI.DST.10TH.10,33.4,34.8,35.4,33.5,35.1,33.1,30.4,30.2,28.3,..
Dominican Republic,DOM,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,26.7,26.3,26.3,22.2,21.6,21.5,20.9,20.4,21.4,..
Dominican Republic,DOM,Gini index,SI.POV.GINI,44.3,45.2,45.7,42.2,43.7,41.9,39.6,38.5,37,..
Dominican Republic,DOM,Income share held by lowest 20%,SI.DST.FRST.20,5.1,5,4.9,5.9,5.8,6,6.2,6.6,6.6,..
Ecuador,ECU,Income share held by highest 10%,SI.DST.10TH.10,34.4,34.9,34.3,33.8,34.4,34.5,36,34.7,34.3,33.2
Ecuador,ECU,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,26,26.3,25.9,26.3,26.5,27.2,27.2,27.4,27.5,26.7
